place_coordinates_id,place_id,latitude,longitude,ym_geocode
2194,61736,67.458183,153.707009,"Россия, Республика Саха (Якутия), Среднеколымск"
2060,61943,45.031929,35.382429,"Россия, Республика Крым, Феодосия"
2230,61957,44.751386,33.875119,"Россия, Республика Крым, Бахчисарай"
2059,61973,61.036589,30.119748,"Россия, Ленинградская область, Приозерск"
2395,62056,56.176143,34.582560,"Россия, Тверская область, Зубцов"
2229,62063,44.403288,43.884148,"Россия, Ставропольский край, Советский район, Зеленокумск"
2394,62162,44.761141,39.871140,"Россия, Краснодарский край, Белореченск"
2058,62221,55.916633,39.173374,"Россия, Владимирская область, Петушинский район, Покров"
2057,62222,56.161694,38.872025,"Россия, Владимирская область, Киржач"
2056,62239,55.930967,39.459900,"Россия, Владимирская область, Петушки"
2361,62287,43.116418,131.882475,"Россия, Приморский край, Владивосток"
2193,62417,67.550161,133.390702,"Россия, Республика Саха (Якутия), Верхоянск"
2393,62530,56.414897,61.918905,"Россия, Свердловская область, Каменск-Уральский"
2392,62650,56.209896,89.530009,"Россия, Красноярский край, Боготол"
1976,62657,53.407211,58.979186,"Россия, Челябинская область, Магнитогорск"
2391,62673,56.332112,36.728007,"Россия, Московская область, Клин"
1975,62679,53.876143,59.216953,"Россия, Челябинская область, Верхнеуральск"
2100,62727,57.247235,60.095604,"Россия, Свердловская область, Новоуральск"
1974,62865,55.746436,38.009049,"Россия, Московская область, Балашиха, Железнодорожный"
2228,62932,53.412058,83.931052,"Россия, Алтайский край, Новоалтайск"
2227,63144,59.503767,40.344040,"Россия, Вологодская область, Сокольский район, Кадников"
1973,63228,55.191156,32.407703,"Россия, Смоленская область, Духовщина"
